question 1,question 2,status,time,order time,order name,message 1,message 2,message 3,id
status ; date ; tracking_PB ; cancel ; refund ; return ; modify_order ; modify_adress ; 24_48h ; info_not_found ; second_message_failed ; Default Fallback Intent ; thanks,Examples : case 3 : info_not_found AND any other questions ; case 4 : status OR tracking_PB ; case 5 : ONLY status ; case 6 : status AND tracking_PB,none ; not_fulfilled ; fulfilled ; shipped ; in_airline ; in_dest_country ; in_local_center ; delivered,positive value : estimated days before delivering ; negative value : days after delivering ; 100 :  when not fulfilled ; 400 : none,,Available soon,,,,
info_not_found,,none,400 ; 400,,,Pouvez vous d'abord m'indiquer votre numéro de commande afin que je puisse vous aider ?,,,s1
status ; tracking_PB,status ; tracking_PB,not_fulfilled,85 ; 100,,,Ne vous en faites pas$ votre commande {order_name} est bien en cours de traitement. Vous recevrez sous peu un mail de confirmation d'expédition avec votre numéro de suivi,,,4
status ; tracking_PB ; date,date,not_fulfilled,85 ; 100,,,Ne vous en faites pas$ votre commande {order_name} est bien en cours de traitement. Vous recevrez sous peu un mail de confirmation d'expédition avec votre numéro de suivi. Suite à cela$ nos commandes sont livrées en moyenne en 7 jours ouvrés après expédition,,,40
24_48h,24_48h ; status ; tracking_PB ; date,not_fulfilled,85 ; 100,,,Ne vous en faites pas$ votre commande {order_name} a bien été traitée dans les délais. Vous recevrez sous peu un mail de confirmation d'expédition avec votre numéro de suivi actualisé. Suite à cela$ nos commandes sont livrées en moyenne en 7 jours ouvrés après expédition,,,41
status,status,fulfilled ; shipped ; in_airline,,,,Ne vous en faites pas$ votre commande {order_name} est bien en cours d'acheminement et nous faisons notre possible pour vous la livrer dans les plus brefs délais.,,,5
status,tracking_PB,fulfilled ; shipped ; in_airline,,,,Ne vous en faites pas$ votre commande {order_name} est bien en cours d'acheminement et nous faisons notre possible pour vous la livrer dans les plus brefs délais.<br>Vous pouvez suivre l'avancement de votre colis ici : http://parcelsapp.com/fr/tracking/{tracking_num},,,6
status ; date,date,fulfilled ; shipped ; in_airline,,,,Ne vous en faites pas$ votre commande {order_name} est bien en cours d'acheminement et nous faisons notre possible pour vous la livrer dans les plus brefs délais. Vous devriez recevoir votre commande {time}.,,,7
tracking_PB,date,fulfilled ; shipped ; in_airline,,,,Ne vous en faites pas$ votre commande {order_name} est bien en cours d'acheminement et nous faisons notre possible pour vous la livrer dans les plus brefs délais. Vous devriez recevoir votre commande {time}.<br><br>Vous pouvez en attendant suivre l'avancement de votre commande ici : http://parcelsapp.com/fr/tracking/{tracking_num},,,8
tracking_PB,tracking_PB,fulfilled ; shipped ; in_airline ; in_dest_country ; in_local_center,,,,Votre commande {order_name} est bien en cours d'acheminement. Vous pouvez suivre son avancement ici : http://parcelsapp.com/fr/tracking/{tracking_num}<br><br>Si vous avez d'autres questions n'hésitez pas :),,,9
