last message id,question 1,question 2,status,time,order_time,message 1,message 2,id
,,,,,,,,
,thanks,thanks,none ; not_fulfilled ; fulfilled ; shipped ; in_airline ; in_dest_country ; in_local_center ; delivered,,,Pas de soucis{first_name} :) N'hésitez pas à revenir vers nous si vous avez la moindre question !,,s2
4 ; 40,status ; tracking_PB,status ; tracking_PB,not_fulfilled,85 ; 100,,Votre commande est désormais en cours d'expédition. Votre numéro de suivi sera actualisé d'ici quelques jours.,,4.1
4,status ; tracking_PB ; date,date,not_fulfilled,85 ; 100,,Votre commande est désormais en cours d'expédition$ votre numéro de suivi actualisé vous sera transmis d'ici quelques jours. Suite à cela$ nos commandes sont habituellement livrées en moyenne 7 jours ouvrés après expédition ,,4.2
4 ; 4.1 ; 4.2 ; 41,status ; tracking_PB,status ; tracking_PB,fulfilled ; shipped ; in_airline,,,Votre commande a bien été expédiée depuis votre dernier message ! Vous pourrez désormais suivre son avancement ici : http://parcelsapp.com/fr/tracking/{tracking_num},,4.3
4 ; 40 ; 4.1 ; 4.2 ; 41,status ; tracking_PB ; date,date,fulfilled ; shipped ; in_airline,,,Votre commande a bien été expédiée depuis votre dernier message ! Vous pourrez désormais suivre son avancement ici : http://parcelsapp.com/fr/tracking/{tracking_num}<br><br>Le mouvement actuel de grève ralentit certain colis$ vous devriez néanmoins recevoir le votre {time}.,,4.4
4 ; 40 ; 4.1 ; 4.2 ; 41,status ; date ; tracking_PB,status ; date ; tracking_PB,in_dest_country ; in_local_center,-2 ; 6,,Votre commande a bien été expédiée depuis votre dernier message ! Elle est même proche de chez vous selon son suivi$ vous devriez la recevoir sous quelques jours :),,4.5
5 ; 7 ; 27,status ; tracking_PB,status,fulfilled ; shipped ; in_airline,,,J'ai verifié le suivi de votre commande et celle ci continue bien sa progression. Vous pouvez la suivre ici : http://parcelsapp.com/fr/tracking/{tracking_num}<br>Le transporteur a pris quelques jours de retard à cause du mouvement de grève actuel$ mais devrait désormais accelerer votre livraison$ je suis sincèrement désolé pour ce désagrément. ,,5.1
5 ; 7 ; 5.8 ; 4.5 ; 27,tracking_PB,tracking_PB,fulfilled ; shipped ; in_airline,,,Vous pouvez suivre l'avancement de votre commande ici : http://parcelsapp.com/fr/tracking/{tracking_num},,5.2
6 ; 8 ; 9 ; 4.3 ; 27,status,status,fulfilled ; shipped ; in_airline,,,J'ai vérifié le suivi de votre commande et celle ci continue bien sa progression. Le transporteur a pris quelques jours de retard à cause de la grève$ mais devrait désormais accelerer votre livraison$ je suis sincèrement désolé pour ce désagrément.,,5.3
6 ; 9,status,tracking_PB,fulfilled ; shipped ; in_airline,,,J'ai vérifié le suivi de votre commande$ celle ci continue bien sa progression. Le mouvement actuel de grève ralentit certain colis. Néanmoins$ votre numéro de suivi {tracking_num} est bien valide. Si vous ne parvenez pas encore a suivre votre colis$ réesayez dans quelques jours$ l'état du suivi peut parfois mettre un certain temps pour se mettre à jour,,5.4
