question 1,question 2,status,time,order date,order name,message 1,message 2,message 3,id,alert
status ; tracking_PB ; cancel ; refund ; return ; modify_order ; modify_adress ; info_not_found ; second_message_failed ; Default Fallback Intent ; thanks,Examples : case 3 : info_not_found AND any other questions ; case 4 : status OR tracking_PB ; case 5 : ONLY status ; case 6 : status AND tracking_PB,none ; not_fulfilled ; fulfilled ; shipped ; in_airline ; in_dest_country ; in_local_center ; delivered,positive value : estimated days before delivering ; negative value : days after delivering ; 100 :  when not fulfilled ; 400 : none,Available soon,Available soon,,,,,yes ; no
info_not_found,,none,400 ; 400,,,Pouvez vous m'indiquer votre numéro de commande afin que je puisse vous aider ?,,,0,
status ; tracking_PB,status ; tracking_PB,not_fulfilled,90 ; 100,,,Ne vous en faites pas$ votre commande est bien en cours de traitement. Vous recevrez sous peu un mail de confirmation d'expédition avec votre numéro de suivi,,,4,no
status,status,fulfilled ; shipped ; in_airline,3 ; 20,,,Ne vous en faites pas$ votre commande est bien en cours d'acheminement et nous faisons notre possible pour vous la livrer dans les plus brefs délais.,,,5,no
status,tracking_PB,fulfilled ; shipped ; in_airline,3 ; 20,,,Ne vous en faites pas$ votre commande est bien en cours d'acheminement et nous faisons notre possible pour vous la livrer dans les plus brefs délais.<br>Vous pouvez suivre l'avancement de votre colis ici : http://parcelsapp.com/fr/tracking/{tracking_num},,,6,
status,status,in_dest_country,-2 ; 6,,,Nous avons verifié le suivi de votre commande : Celle ci est proche de chez vous$ vous devriez la recevoir d'ici quelques jours :),,,7,
status,tracking_PB,in_dest_country,-2 ; 6,,,Nous avons verifié le suivi de votre commande : Celle ci est proche de chez vous$ vous devriez la recevoir d'ici quelques jours :)<br>Vous pouvez suivre l'avancement de votre colis ici : http://parcelsapp.com/fr/tracking/{tracking_num},,,8,
status,status,in_local_center,-2 ; 2,,,Nous avons verifié le suivi de votre commande : Celle ci est dans votre centre postal local$ vous devriez la recevoir d'ici demain :),,,9,
status,tracking_PB,in_local_center,-2 ; 2,,,Nous avons verifié le suivi de votre commande : Celle ci est dans votre centre postal local$ vous devriez la recevoir d'ici demain :)<br>Vous pouvez suivre l'avancement de votre colis ici : http://parcelsapp.com/fr/tracking/{tracking_num},,,10,
status ; tracking_PB ; refund,status ; tracking_PB,delivered,-7 ; -1,,,Nous avons verifié et selon le suivi de votre commande$ celle ci a été livrée il y a quelques jours. Vous pouvez voir son suivi ici : http://parcelsapp.com/fr/tracking/{tracking_num}<br>Il s'agit peut être d'une erreur de votre facteur$ un voisin a surement récupéré votre colis. Voyez donc auprès de votre entourage et contactez la poste si vous n'avez toujours pas trouvé votre colis.,,,11,
