last message id,question 1,question 2,status,time,order_time,message 1,message 2,id
,,,,,,,,
4,status ; tracking_PB,status ; tracking_PB,not_fulfilled,90 ; 100,,Votre commande est désormais en cours d'expédition. Votre numéro de suivi sera actualisé d'ici quelques jours.,,3.2
4,status ; tracking_PB,status ; tracking_PB,fulfilled ; shipped ; in_airline,0 ; 20,,Votre commande a bien été expédiée depuis votre dernier message ! Vous pourrez désormais suivre son avancement ici : http://parcelsapp.com/fr/tracking/{tracking_num},,4.2
4,status ; tracking_PB,status ; tracking_PB,in_dest_country ; in_local_center,-2 ; 6,,Votre commande a bien été expédiée depuis votre dernier message ! Elle est même proche de chez vous selon son suivi$ vous devriez la recevoir sous quelques jours :),,5.2
5,status ; tracking_PB,status ; tracking_PB,fulfilled ; shipped ; in_airline,0 ; 20,,J'ai verifié le suivi de votre commande et celle ci continue bien sa progression. Vous pouvez la suivre ici : http://parcelsapp.com/fr/tracking/{tracking_num}<br>Le transporteur a pris quelques jours de retard$ mais devrait désormais accelerer votre livraison$ excusez nous pour ce désagrément. ,,6.2
6,status ; tracking_PB,status ; tracking_PB,fulfilled ; shipped ; in_airline,0 ; 20,,J'ai verifié le suivi de votre commande et celle ci continue bien sa progression. Le transporteur a pris quelques jours de retard$ mais devrait désormais accelerer votre livraison$ excusez nous pour ce désagrément. ,,7.2
5 ; 6,status ; tracking_PB,status ; tracking_PB,in_dest_country ; in_local_center,-2 ; 6,,J'ai verifié le suivi de votre commande et celle ci continue bien sa progression depuis votre dernier message ! Elle est désormais proche de chez vous$ vous devriez la recevoir sous quelques jours :),,8.2
7 ; 8,status ; tracking_PB,status ; tracking_PB,in_dest_country ; in_local_center,-2 ; 6,,Ne vous en faites pas{first_name}$ votre commande continue sa progression normalement. Elle arrive désormais dans votre centre postal local et vous sera donc livrée très prochainement :),,9.2
11 ; 12,status ; tracking_PB ; refund ; return,status ; tracking_PB ; refund ; return,delivered,-30 ; -1,,/ALERT Ce client a été livré selon le suivi$ mais affirme ne pas l'avoir reçu. Je lui est dit de voir avec la poste !,,10.2
13,status ; tracking_PB,status ; tracking_PB,fulfilled ; shipped ; in_airline ; in_dest_country ; in_local_center,-3 ; 20,,Votre numéro de suivi {tracking_num} est bien valide. Si vous ne parvenez pas encore a suivre votre colis$ réesayez dans quelques jours$ l'état du suivi peut parfois mettre un certain temps pour se mettre à jour,,11.2
14,Default Fallback Intent ; cancel ; refund ; modify_order ; modify_adress ; status,,not_fulfilled,50 ; 100,,/ALERT Ce client a annulé sa commande et renvoie un message$ je vous laisse le traiter,,12.2
15,cancel,,fulfilled ; shipped ; in_airline ; in_dest_country ; in_local_center,-3 ; 20,,Navré de ne pas pouvoir annuler votre commande dès à présent. Nous ne faisons qu'appliquer la loi et nos conditions générales de ventes$ merci de votre compréhension.<br>Ne vous inquiétez pas{first_name}$ votre commande est bien en cours d'acheminement$ vous pouvez suivre son avancement ici : http://parcelsapp.com/fr/tracking/{tracking_num},,13.2
16,refund,,fulfilled ; shipped ; in_airline ; in_dest_country ; in_local_center,-3 ; 20,,Navré de ne pas pouvoir rembourser votre commande dès à présent. Nous ne faisons qu'appliquer la loi et nos conditions générales de ventes$ merci de votre compréhension.<br>Pas d'inquiétude{first_name}$ votre commande continue sa progression depuis votre dernier message$ vous pouvez suivre son avancement ici : http://parcelsapp.com/fr/tracking/{tracking_num},,14.2
17 ; 18,refund ; return,,delivered,,,/ALERT Ce client a reçu son article mais souhaite avoir plus de renseignements sur les retours,,15.2
19 ; 20,modify_adress ; modify_order,,not_fulfilled,50 ; 100,,/ALERT Ce client a modifié sa commande et renvoie un message$ je vous laisse le traiter,,16.2
